Comment 
	Author 
	Die andere Seite des MaidansEs ist zwar richtig, was Sie über die neue Generation der Demonstranten schreiben, jedoch gibt es noch eine weitere 'Neuheit', über die in deutschen Medien seltsamerweise nicht berichtet wird. Ein nicht geringer Teil der Demonstranten kommt nämlich aus dem ländlichen Raum und Provinzen. Das ist neu. Dabei handelt es sich nicht um junge Leute, die zitierte Facebook-Generation, sondern um die 30 bis 60-Jährigen, die weder Arbeit, noch Geld haben, noch überhaupt irgendeine Perspektive im Leben haben. Sie kommen auf den Maidan-Platz, nicht weil sie politisch aktiv sind, sondern aus viel trivialeren Gründen. Dort bekommen sie Essen, oft auch einen Schlafplatz, und vor allem das Gefühl, gebraucht zu werden. Zum ersten Mal in ihrem Leben fühlen sich wie Helden oder zumindest als Teil einer großen Sache. Anders als die aktiven Demonstranten, sind sie jedoch nicht an einem schnellen Ende der Proteste interessiert. Ich habe Verwandschft in der Ostukraine, und sie bestätigt diese soziale Seite des Maidans. Es wäre schön, wenn die Zeit dieses Thema ausführlicher beleuchtet.
	Salto Felino
	HOLODOMORDie Menschen sind nicht nur in Ukraine durch Hunger gestorben in 30-er Jahren! Auch in Russland und anderen Republiken der Sowiet Union! Ausserdem Stalin war ein Georgier!!! Warum hassen die Leute aus Westukraine? Weil in Westukraine leben Menschen die als Idol Hitler und Bendera haben! Und schuldig sind immer Juden und Russen Westukraine? Weil in Westukraine leben Menschen die als Idol Hitler und Bendera haben! Und schuldig sind immer Juden und Russen
	victorpiter1
	Quasi die gesamte Randale geht auf das Konto von Faschisten, die sich inzwischen auch schon paramilitärisch aufstellen. Schon zuvor haben sie öffentliche Gebäude attackiert und besetzt, Statuen demoliert, Polizisten angegriffen usw. Ihre Fahnen und Insignien sind überall. Und von der (siehe nächster Punkt) im Westen so geschätzten demokratischen Opposition scheint damit keiner ein Problem zu haben.
	Gemeiner Hai
	Erinnert sei etwa an die Gasprinzessin Timoschenko, die wegen wirtschaftlicher Verbrechen im Gefängnis sitzt; und im Artikel wurde ja etwa Petro Poroschenko bereits erwähnt. Die Ukraine wird beherrscht von einigen Oligarchenclans, die sich nach dem Ende der Ukrainischen SSR exorbitant bereichern konnten. Was seit der Unabhängigkeit stattfindet, ist eine Art permanenter Bandenkrieg zwischen verschiedenen Clans, die Politiker sind nur deren jeweilige Marionetten.
	Gemeiner Hai
	Tja, war zu erwarten. Was erwartet man auch wenn es Massendemonstrationen gibt und der Regierungschef auf stur schaltet. Nun ist zu spät...War in Syrien genauso...
	

mr_supersonic
	Wer sich mit den Neo-Nazis zusammen tut, und das macht Herr Klitschko, hat keinerlei Sympathie von mir zu erwarten. Ich wuenschte mir, dass die "vernuenftigen Demonstranten" sich von diesen Idioten der rechts-extremistischen Szene distanzieren wuerde.Ansonsten kann ich nur hoffen, dass der Faschistische Mob genau das bekommt was er verdient
	HerrKunstprodukt
	Richtig, und das gilt auch für alle anderen Svoboda Sympathisanten und deren Anhänger selbst.
	Mandalore
	Der Mob muss von der Staße verschwinden.Die Opposition muss ihr Verhältnis zum Mob klären.Friedliche Proteste müssen weitergehen.
	Mandalore
	Sieht man sich ...
den "Arabischen Frühling" an vereinte der Opposition nur eins "Die Regierung muss weg". Das Ergebnis ist hinlänglich bekannt; nach dem "Sieg" Bürgerkrieg, Anarchie.
Auch der Ukraine droht dieser Verlauf. Wenn man nicht von Anfang an klare Vorstellungen über "Das Danach" hat und sich mit den "Falschen Leuten" einlässt droht immer ein Machtkampf mit sehr viel Gewalt
	intenso01
	Da kann Frau Merkel richtig stolz sein auf ihre Leistung die Uraine zu destabilisieren.Herr Klitschko mag ein guter Boxer sein,oder gewesen sein,aber zu einer Staatsführung gehört mehr als aufzuhetzen und nun hat er wohl keine Kontrolle mehr über seine Demonstranten.Wer Wind säht,wird Sturm ernten.Ich denke an wenigsten Interesse dürfte das Volk der Ukraine an diesem CHaos haben.Was soll das noch werden?
	intenso01
	Verfolgt die Ukraine einen ungesteuerten West-Kurs wie RUS in den 90ern, dann führt das das Land in die Katastrophe. Die Industrie ist nicht konkurrenzfähig, eigene Produkte können nur nach Osten exportiert werden, ... die Abhängigkeit von IWF-Krediten und deren Bedingungen führt zu einer Verarmung des Landes. Schon jetzt fordert der IWF einen harten Sanierungs-Kurs, das Einfrieren von Löhnen u.ä. ... die EU hat keine praktikable Lösung und wirksame Hilfe für die Ukraine.
	Berlino10
	Dass die Ukrainer nur Demokratie und EU wollen, ist eine West-Illusion.  Höchstens indirekt, weil sie sich durch eine West-Annäherung mehr Wohlstand, mehr Rechtssicherheit und das Ende der Kleptokratie versprechen als von einer Annäherung zu RUS, wo Autokratismus und Kleptokratie selbst geduldet werden.Menschenrechte sind in Ländern wie Ukraine zuerst Schutz der Person vor staatlicher, juristischer Willkür aber vor allem auch eine wirtschaftliche Existenzsicherung. Westliche Demokratie ohne eigene Stärke, ohne begleitende Rechts- und Kontrollsysteme, ohne Entmachtung der Oligarchen bedeutet aber sofort wieder Fremdbestimmung von aussen durch IWF/EU von innen durch die Kleptokraten. Und das läuft dann so wie in RUS der 90er gegen den Willen und Nutzen des Volkes.
	Berlino10
	Wie wollen sie das in der Ukraine verhindern, wo jeder Oligarch von der Regierung, über die Parlamente, über die Bürokratie, über die Justiz bis zur Presse einen durchgreifenden Schutz seiner Interessen gekauft hat?
	Berlino10
	Mir kommt es so vor, dass einige ziemliche Wut über die Deutschen Mainstream-Medien haben .. ok in heiklen Themen - international bei Ukraine, Syrien, RUS oder national bei AfD, Linke herrscht ein "aggressiver Konformismus", der das Programm, die Berichte und das Denken der Medien durchzieht und die forcierte Homogenisierung von Meinung betreibt ("Kreml-Kritiker" Chodorkowskij) ... es werden Informationen selektiert, verschwiegen und ideologisch eingefärbt statt uns zu informieren und uns selbst die Schlussfolgerungen ziehen zu lassen.
	Berlino10
	Da passt es natürlich überhaupt nicht ins Konzept, wenn 20-30% der Opposition in der West-Ukraine Bandera-Faschisten sind, zumindest unterstützen oder wählen.Die Selektion und Verfälschung von Information und Wahrheit gehört zu unserem Chinesischem Staatsfernsehen mittlerweile zum Programm.
	Berlino10
	Ich wiederhole mich: Unabhängig von sog. Menschenrechten und Demokratie:Mit der EU würde die NATO kommen - Rußland und Putin direkt vor der Nase.Die ukrainischen Krimhäfen sind langfristig von Rußland für seine Flotte
gepachtet! Es geht nicht mit der EU!Meiner Meinung kann nur eine Spaltung sinnvoll sein: die Abspaltung einer
West-Ukraine mit der Hauptstadt Lwiw!
	Günter Naseweiß
	Ich lese hier ständig Begriffe wie "Aktivisten", "Demonstranten","Oppositionelle" - angesichts der Bilder und Videos und der ständigen Angriffe auf die Polizei mit Stöcken, Pflastersteinen, Feuerwerk, Molotow-Cocktails sind solche Begriffe beschämend und verzerren die Realität. Solche Worte angesichts der immensen Gewalt bedeuten für mich eine Verherrlichung von Gewalt.Man könnte für die Aktionen der Neofaschisten, die sich westlicher Unterstützung sicher sind, ohne weiteres auch Begriffe wie Randalierer, Rechtschaoten und marodierende Schlägerbanden verwenden, das würde der Realität schon wesentlich gerechter werden.In unserem Land wird schon potenzielle Gewaltbereitschaft bei Demonstrationen sofort polizeilich unterbunden - und in der Ukraine wird brutale Gewalt von Randalierern politisch und medial zumindest unterstützt ?Wo leben wir eigentlich ? Geht's noch schizophrener ?
	robins hood
	Sezession Es riecht nicht nur nach Umsturz, sondern auch nach Sezession. Die Westukraine könnte sich mit Sitz in Lemberg selbständig machen. Timoschenko (Vaterlandspartei) ruft zum Umsturz und will eine Westverankerung auf. Die Swoboda-Partei ist für eine reinrassige Ukraine und die Udgar-Partei (Klitischko) will in die EU. Obama meldet sich auch zu Wort mit der Androhung von Sanktionen. Keiner macht dabei die Rechnung ohne den Wirt (Putin).Putin hat als Druckmittel die Öellieferungen im Köcher. Egal, ob das Oedurch die Ukraine geleitet wird oder durch die Ostsee. Was macht die Deutsche Presse: Es wird oberflächlich berichtet über den mutigen Klitschko. Der Westen wird sich mit seiner Einkreisungspolitik eine verbeulte Nase holen.
	

la borsa
	Die Polizisten...können einem wirklich leidtun. Da werden sie massiv attackiert von den Demonstranten, wobei der Begriff schon lange nicht mehr zutrifft. 
	Piscator76
	In der Ukraine haben faschistische Aktivisten mehrere Gebietsverwaltungen unter ihre Kontrolle gebracht. In den westlichen Regionen Lwow, Ternopol, Rovno, Luzk und Iwano-Frankowsk stürmten Gruppen von mehreren hundert Leuten die Behördengebäude und nötigten die von Präsident Wiktor Janukowitsch eingesetzten Gouverneure, Rücktrittsschreiben zu verfassen.
	Seldon-X
	Die Polizei, in Relation, absolut friedlich.
	meidebie
	In der Ukraine hat sich die Logik verkehrt.Gerade dort sind die Demonstranten in der Mehrheit vermummt.
Zünden Fahrzeuge, Busse, Gebäude an.Laufen mit Kettensägen und Stangen herum.Verprügeln Gegendemonstranten und verbreiten Terror.
	Rocky.Mountains
	Die Ukraine ist finanziell pleite und die Wirtschaft ist total rückständig. Die milliardenschweren Oligarchen, darunter Julia Timoschenko, plünderten das Land restlos aus und haben ihre Überschüsse in das westliche Ausland (Zypern etc.) transferiert.
	Bernhard Lugi
	Beschämend
Ich finde es sehr beschämend, dass ausgerechnet der Herr Schulz, ein Deutscher EU Politiker den faschistischen Milizen die dort jawohl offensichtlich kämpfen, die das Bild eines Mannes der für den Tod der ukrainischen Juden verantwortlich ist verehren, deren Anführer von einer "Moskauer Judenmafia" spricht das Wasser zuträgt.
	Bakhunin
	Aktivisten ? Sorry aber sie benehmen sich wie Kriminellen
	Sergio-Fausto
	Erstaunlich alle Medienkommentare unterstützen einseitig und 100%ig die Rebellen, während das Urteil über die Janukowitsch-Regierung immer sehr hart ausfällt.Ich glaube, die (friedlichen) Demonstranten haben gute Gründe zu protestieren. Aber es fehlen in unseren Medien wichtige Informationen und Bilder über Wesen und Aktionen der Opposition. http://ic.pics.livejourna... Die J.-Regierung ist tatsächlich durch und durch korrupt, aber das war die alte auch, und der Euromaidan ist keineswegs so unreflektiert hochzujubeln wie von unseren Medien.
	Berlino10
	Die Propagandafront bröckelt weiter
	Mandalore
	Wenn die Menschen in der Ukraine nicht aufpassen wird ein Bürgerkrieg entstehen. Und ein Teil der Schuld wird auf unsere Regierung fallen.
	redaresaw
	Die Westukraine ist als Agrarwüste ohne den industriellen, russich-orientierten Osten und die Krim gar nicht lebensfähig.
	Berlino10
	Niemand? Leute wie sie begreifen es nicht, dass viele Millionen Ukrainer eng mit RUS verbunden sind, Verwandte, Ehepartner, eigene russische Abstammung haben. Donezk, Luhansk ... die Krim ... die sehen sich jedenfalls fest an Russlands Seite
	Berlino10
	road to civil war
	Berlino10
	KriegsgefahrDie Kriegsgefahr ist in der Tat hoch ... Verfassungsänderungen, die Beschneidung der Macht des Präsidenten und schlussendlich Neuwahlen hat er ja zugesagt ... die Opposition will seinen Kopf und zurücktreten wird er kaum. Die Opposition hat mit den Verboten seiner Partei und die der Kommunisten in der Westukraine ja gezeigt, wie sie vorgehen würde ... erbarmungslos, undemokratisch und ohne jede Rechtsstaatlichkeit.
	Berlino10
	Nationalistische, antisemitische Faschisten. Man darf hier unzensiert faschistische, antisemitische Schlägerbanden und Terroristen als demokratische Speerspitze hochjubeln?
	Berlino10
	Also auch wenn ich den Umsturzversuch der Oppostion kritisch sehe, wo er recht hat hat er recht.
	MaxLeser
	Janukowitsch ist laut OSZE korrekt und demokratisch gewählt.
	Berlino10
	Naja, seit dem Angebot von Hilfsgeldern seitens der EU sind wir in einem Bieterwettbewerb.Die Ukraine wird an den meist bietenden verschachert.Und der Sieger wird seine Investition zurück haben wollen.Wie das ganze dann aussehen wird?Der Blick nach Spanien, Portugal, Griechenland gibt Aufschluss.
	Mandalore
	Sie sollten bei der Wahrheit bleiben.
Beide Präsidentenwahlen wurden berechtigterweise gewonnen.In der Ukraine bestätigte das u.a. die OSZE.In RUS die Opposition, Golem, die u.a. einen aufwendigen SMS-Gegencheck mit über 30 Mio Kontroll-Eingaben getätigt hat, sowie das unabhängige Levada-Institut, über 60% gehen ok, vielleicht nicht die 63%Bei den Parlamentswahlen in der Ukraine gibt es tatsächliche Betrugsnachweise.Bei denen in RUS auch, u.a. unverfälschbare rein statistische Unmöglichkeiten. Einiges RUS hätte nach tatsächlichem Wählerwillen von 65% auf 35% abstürzen müssen statt der off. 49%.
	Berlino10
	Korruption in diesen Ländern wird nicht einfach oben beschlossen oder vereinzelt begangen. Sie entwickelt sich zwangsläufig und ist strukturell bedingt, liegt im System.
	Berlino10
	Man sollte ihm einmal sagen, daß er die Spaltung seiner Heimat riskiert, wenn er weiter vehemennt den Rücktritt eines demokratisch gewählten Präsidenten fordert.
	CerroTorre
	Putsch organisieren.
	Malvin
	Die Gewalt ist ja förmlich explodiert und das war nicht unbedingt die Schuld der Regierung. Der wütende Mob draf ja nicht unbedingt die großen Betriebe, sondern eher den Bäcker oder den kleinen Supermarktbesitzer von nebenan. 
	Piscator76
	RT ist nicht die Quelle .. warum lenken sie ab? Die IWF hat schon mehrfach in ihrer Geschichte Staaten an den Rand des Abgrundes gebracht.Anständige Marktwirtschaftler wie Helmut Schmidt, Prof Kartte, Stiglitz u.v.m. haben das kritisiert, dass ein immer gleiches "Lösungs-"Schema auf alle Staaten gepresst wird, der nur westlichen Spekulanten, Exporteuren und Rohstoffeinkäufern nutzt, aber nicht den Ländern und ihrer Menschen.korrupte, übereilte und unangepasste Privatisierungen, übereilte Freigabe der Wechselkurse, Marktöffnungen für den Westen ...Der IWF ist mit verantwortlich dafür, dass RUS in den 90ern fast ganz pleite ging, 80% der Menschen unter die Armutsgrenze rutschten und der Autokrat Putin Einzug hielt.Die Menschen und die Länder selbst interessieren den IWF nicht. Der IWF richtet die Länder zu Grunde, um sich dann die Rosinen billig unter den Nagel reisen zu können.
	Berlino10
	Jüdische Vorfahren, aber Ultranazis als Freunde
	faktenfaktenfakten
	Ach so, dann habe ich wohl von einer gewissen "Partei" Swoboda unter Führung Holocaustleugner Tjagnibok, mit der Klitschko gemeinsame Sache macht, nur geträumt... Alles klar, das Motto lautet Hinwegtäuschen, Relativieren und Beschönigen.
	faktenfaktenfakten
	 Unsere Politiker sind wenigstens in dieser Frage nicht so naiv wie die "Boxer-/Nazi-/Oligarchenopposition" in Ukraine. Das heißt nicht, dass Janukowitsch nicht die restliche Oligarchengruppe bedient, aber die Politik dort war nie sauber. Man sollte realistisch bleiben.
	faktenfaktenfakten
	Wir könnten derzeit die deutsch-russischen Beziehungen intensivieren und als Vermittler auftreten
	Piscator76
	"Kalter Krieg" reloaded
	sec_life
	Das Kosovo...durfte sich also abspalten, die Ostukraine dürfte das also nicht?
	NGC1672
	Die Ukraine DARF nicht in die EU = NATO
	peter1977
	Konfrontation mit Rußland ist keine Lösung.
	frawx
	rechten Sektor reichlich zu findendenHooligans:
	Mandalore
	Bürgerkriegsähnliche Zustände
	Alex Schmidt
	Typen gesehen habe mit den Gewehren, wußte ich, dass das in einem Blutbad enden muss. Das hat nichts mehr mit demokratischen Protesten zu tun, sondern das ist ein faschistischer Umsturz gegen eine gewählte Regierung. Und wir hier im Westen unterstützen diese Wahnsinngen auch noch.
	Piscator76
	Bewaffnung der OppositionDa haben wir Afghanistan mit den Taliban (Bewaffnung, Finanzierung, Ausbildung durch USA) und die Opposition in Syrien (bewaffnet, ausgebildet und finanziert von CIA) als gute Beispiele.Den USA und der Nato geht und ging es nie um Demokratie und/oder Freiheit. Destabilisierung durch Chaos und Gewalt ist das Ziel, um die dadurch geschwächten und kaputten Länder zu willigen Vasallen zu machen. Die Ukraine ist doch nur ein militärischer Brückenkopf, um mit US- und Nato-Waffensystemen näher an den Hauptfeind Russland heranrücken zu können. Koste es, was es wolle!
Arme Betroffene!
	merman2
	"Putschversuch" der Opposition
	Pippin
	Es ist...schon erstaunlich, dass der Westen sich immer für die falsche Seite entscheidet und sich damit permanent selbst diskreditiert.
	Piscator76
	Durch das Eingreifen des Westens haben wir die Ukraine vollkommen destabilisiert. China wäre vielleicht noch ein glaubwürdiger Vermittler.
	Piscator76
	Klitschko und seine ultranationalistischen Freunde alles auf eine Karte gesetzt und verloren haben. Jetzt wurde nämlich der Welt offenbart, dass der tonangebende Teil der Opposition nichts weiter ist als ein randalierender Mob ist und Klitschko nur durch das Wohlwollen des Westens agieren kann. Alles gesetzt und verloren - Game over.
	Piscator76
	Weshalb ist es der vierten Gewalt (den Medien) nicht möglich, objektiv und unvoreingenommen zu berichten? Es ist schon eklatant, wie in den deutschen "Leidmedien" nicht zwischen Gewalttätern und Demonstranten unterschieden wird. Wenn sich "Demonstranten" mit Schusswaffen, Brandsätzen, etc. bewaffnen, um ihre Ziele mit Gewalt durchzusetzen und mindestens sieben Polizisten töten, wird eine Grenze überschritten, die unter keinen Umständen gut geheissen werden kann.Weder von deutschen Medien, noch von deutschen Politikern
	Friedrich von Muenchhausen
	Auch in der Türkei wollten "friedliche" Demonstranten mit Gewalt das Regime stürzen. Mit der EU im Rücken Glauben Sie Berge zu versetzen. Die Opposition in der Ukraine ist auch untereinander sehr gespalten was die Sache nicht einfacher macht.
	Weber68
	Pulverfass.OK, jetzt ist das Pulverfass hochgegangen, an dessen Lunte EU und USA so lange zündelten.
Europäische und amerikanische Politiker machen weiterhin einseitig Druck.Wenn das so weitergeht, wird die Ukraine gespalten.Kulturell gesehen ist diese Zerstörung des Landes eine Katastrophe.Wirtschaftlich gesehen zumindest ein Desaster.Die Industrie des Ostens wäre in der EU nicht wettberwebsfähig, sie würde binnen 10 Jahren auf 10%-20% ihres jetzigen Volumens zusammenschmelzen.Im Westen gibt es keine Industrie.
	Mandalore
	Und Sie hegen dafür eine Hochachtung. Das ist unfassbar! Sprechen Sie sich endlich unmissverständlich gegen Gewalt aus und dafür, dass politische Forderungen in parlamentarischen Systemen nicht mit Molotov Cocktails vorgetragen werden.
	sicherfrei
	Natürlich haben sie was damit zu tun. Es reicht einfach nicht zu behaupten, dass die eine Gewalt gut und die andere Gewalt schlecht ist
	sicherfrei
	und das nicht nur, weil es in Kiev Neonazis sind, die da im Namen der arischen Herrenrasse gegen die russisch-jüdische Weltverschwörung kämpfen..
	Nina P.
	Von einem _Teil_ der Bevölkerung. Nur sollte man sich wirklich darüber beklagen, wenn die Staatsmacht zurückschlägt? Immerhin sind auch die westlichen Medien nicht ganz unschuldig, den goldenen Westen zu propagieren und so die Leute aufzustacheln.
	karl98
	Das der Protest nur in Kiew stattfindet ist schlicht falsch. Nur wurden bereits vor 6 Wochen in Kharkiv die Demonstranten von Tituschkie verpruegelt, Equipment gestohlen, Autos in Brand gesetzt, Aktivisten auf offener Strasse niedergestochen. In Donetzk waren es nur einige Hundert, die aber anschliessend schweren Represalien ausgesetzt waren. In Dnipropetrovsk kam es wiederholt zu Demonnstrationen. In Odessa haben Muetter die Kaserne der Einsatztruppe blockiert, von Lwiw (Lemberg), Ivano Frankisk, Chernitvsi will ich schon gar nicht sprechen - das sind ja eh nur die Radikalen aus der Westukraine.
	lklueh
	Der Feind meines Feindes ist mein Freund?So ging das mit den Taliban und so geht es in der Ukraine mit Faschisten.Wir füttern ein Natterngezücht und beklagen uns, wenn es uns später bedroht.
	alpacino
	Ich bin kein Fan der Regierung der Ukraine, aber offenbar greift die Regierung gegen Nazis konsequent durch http://german.ruvr.ru/201... und ein Vermummungsverbot oder gar ein Schutzwaffenverbot scheint es in Ukraine offenbar nicht zu geben Also bringen Sie Belege dafür,,dass die Regierung die Menschen in Ukraine schlecht behandelt
	Marktzyniker
	Die 'Farbrevolutionen' waren von außen gesteuert, die Revolution im Iran zugunsten des Shahs war gesteuert....von Südamerika ganz zu schweigen.
	

shenek
	s gibt keine Regeln in der Ukraine - keine Gesetze, die den Bürger vor irgendetwas schützen, Menschen haben Angst.Janukowitch nimmt sich alles was er will. Ob es jemandem gehört ist irrelevant.
Er klaut Konzerne und droht den Inhabern entweder mit Mord oder Gefängnis, wenn diese sich währen sollten. Das nur als ein Beispiel.Und wenn Sie glauben, dass über alles was sich hinter den Kulissen abspielt, berichtet wird - dann kann ich Ihnen auch nicht weiterhelfen.
Wie gesagt, die Ukraine ist nicht Deutschland und man findet nicht über jedes Unrecht einen Artikel bei Google.Es herrscht Gesetzlosigkeit - GESETZLOSIGKEIT.
	

nina_pets
	Sie diskutieren in der Sache leider nicht konkret....bereits die 'Orangene Revolution' in der Ukraine war eine von außen gesteuerte 'Revolution' , die gescheitert ist und zu einem 'backlash' führte.
	shenek
	Dass die 'Farbrevolutionen' von außen gesteuert wurden.
	shenek
	ibertäre Ideen sind noch nicht genügend verbreitet. Die einzige einigermaßen populäre Idee ist Sezession - Schotten, Basken, Katalanen, Südtiroler und auch Westukrainer hätten da eine Chance. Und Sezession ist durchaus ein kleiner Schritt in die richtige Richtung - hin zur Selbstbestimmung.
	noch ein Libertärer
	Und natürlich sind die Demonstranten, die gerade physisch in Kiew sind, nicht die Mehrheit der Bevölkerung – das Land hat über 45 Millionen Einwohner.
	

Kelhim
	Die Ukraine ist ein selbstbestimmter Staat in Russland
	Stephan311
	Das die Demonstranten jetzt anfangen auch Gewalt einzusetzen, war doch nur eine Frage der Zeit.
	olivermaximilian
	Das Ende der Ukraine. Der (hoffentlich) letzte Akt im Zerfallsprozess der UdSSR beginnt. Sobald die Regierung in Kiew gestürzt ist, werden sich die Ostukraine und die Krim lossagen. In der Westukraine können sich die Nationalisten als Sieger fühlen. Von Klitschko und Timoschenke wird bald kein Mensch mehr reden
	T. Steffen
	Die Diktatur des Pöbels ist die schlimmste
	girolamo
	An dem westlichen Hegemonialstreben klebt viel Blut
	runnner
	Molotov Cocktails auf Polizisten
	Schandmaul1987
	Dem zumeist gewaltsamen rechten Mob der gegen die Polizisten mit allen moeglichen Waffen vorgeht, kann ich keine Sympathie entgegen bringen
	HerrKunstprodukt
	Aber wenn "Demonstranten" ausgerüstet wie Soldaten, mit Helmen, Schilden, Kartons voller Molotowcocktails und Pflastersteinen und sogar Schusswaffen auftreten, dann sprengt das die Grenzen einer "Demonstration".
	HutaMG
	Das sind/waren Erpressungsaktionen mit der ultimativen Maximalforderung "Rücktritt des gewählten Präsidenten".
	zahaw
	Genau so ist es mit der Darstellung der "Demonstranten" und der "Staatsmacht" in der Ukraine, in Syrien, im Iran, in .... So sieht keine seriöse und glaubhafte Berichterstattung aus. Das Leben ist nun mal nicht NUR schwarz weis.
	intenso01
	Wer bitte, fordert hier Solidarität mit Faschisten ? oder mit Hooligans von Dynamo Kiew ?
	Kelmut Hohl
	Wer sind die 3 Oppositionspartein? Eine davon, die "Allukrainische Vereinigung „Swoboda“", welche mitlerweile die Macht auf dem Maidan übernommen hat, ist eine rechtsextreme Partei, die vor gewalt nicht zurueckschreckt, wie wir in Videos mitverfolgen konnten."Die Allukrainische Vereinigung „Swoboda“ bezeichnet ihre Parteiideologie in ihren Programmen als „Sozialnationalismus“ und knüpft an das von der Organisation der Ukrainischen Nationalisten (OUN) in den 1930er Jahren formulierte Konzept der „Natiokratie“ an. Der nationalistische Politiker Stepan Bandera und der Anführer der Wehrmachtslegion „Nachtigall“ Roman Schuchewytsch werden von „Swoboda“ als Nationalhelden verehrt."
Stepan Bandera = "Nazi-Kollaborateur und Verbrecher."
	HerrKunstprodukt
	wenn es gegen den "bösen" Putin geht, geht der "gute" Westen selbst mit Nazis ins Bett. Ich kann nicht erkennen warum wir im Ausland Rassisten/ Antisemiten unterstützen um einen laut Wahlbeobachter demokratisch gewählten Präsidenten zu stürzen, außer die EU/USA hätte dort im Hintergrund einen Regimechange vor.  
	oli1970
	Ich habe den gewaltbereiten, radikalen Mob gemeint und NICHT die friedlichen Demonstranten. Ihre ideologischen Scheuklappen können Sie damit nicht wettmachen.
	faktenfaktenfakten
